candidate_id,year,journal,article_title,url,priority_theme,oa_status,license_status,screening_priority,notes
S15-020,2025,Applied and Environmental Microbiology,"Ultrafast electron transfer kinetics at semiconductor-microbe interface: key to efficient extracellular photoelectron utilization",https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,"material_microbe_interface|photoelectron_transfer|biohybrid",open_access,verify_cc_by_in_scan,high,"Directly aligned with Bath-semiconductor Objective 2; prioritize interface/electron-flow schematics"
S15-021,2024,Science Advances,"Polymer semiconductor films and bacteria hybrid artificial bio-leaves",https://pmc.ncbi.nlm.nih.gov/articles/PMC11529708/,"biohybrid|semiconductor_film|carbon_fixation",open_access,verify_cc_by_in_scan,high,"Strong 2D/2.5D material-bacteria architecture and process-flow candidate"
S15-022,2026,Chemical Reviews,"Designing Microbe–Semiconductor Interfaces for Semibiological Photosynthesis",https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,"material_microbe_interface|electron_transfer|biohybrid_review",open_access,verify_cc_by_in_scan,high,"High-density interface design review; retain only original/reuse-compatible figures after third-party screening"
S15-023,2025,ACS Sustainable Chemistry & Engineering,"A Living Semiartificial Photoelectrocatalytic Biohybrid for Solar CO2 Fixation and Fermentation to Fatty Acids",https://pmc.ncbi.nlm.nih.gov/articles/PMC12635957/,"electrode_microbe_interface|carbon_fixation|microbial_consortium",open_access,verify_cc_by_in_scan,high,"Excellent electrode–microbe plus downstream microbial coupling layout candidate"
S15-024,2024,Environmental Research,"Exploring interspecific interaction variability in microbiota: A review",https://pmc.ncbi.nlm.nih.gov/articles/PMC11915528/,"microbial_interaction|interaction_network|cross_feeding",open_access,verify_cc_by_in_scan,medium,"Useful interaction grammar; retain only figures with transferable pairwise/high-order interaction layouts"
S15-025,2024,Bioelectrochemistry,"Molecular dynamics of photosynthetic electron flow in a biophotovoltaic system",https://pmc.ncbi.nlm.nih.gov/articles/PMC11732479/,"electron_transfer|redox_mediator|bioelectrochemistry",open_access,verify_cc_by_in_scan,high,"Strong mediated electron-flow and membrane/electrode pathway candidate"
S15-026,2024,Cell Systems,"Richness and density jointly determine context dependence in bacterial interactions",https://pmc.ncbi.nlm.nih.gov/articles/PMC10770726/,"microbial_interaction|community_context|interaction_strength",open_access,verify_cc_by_in_scan,medium,"Potential compact interaction-network and experimental-concept layouts; exclude routine quantitative panels"
S15-027,2024,Applied Microbiology and Biotechnology,"Mechanisms of microbial co-aggregation in mixed anaerobic cultures",https://pmc.ncbi.nlm.nih.gov/articles/PMC11224092/,"microbial_interaction|coaggregation|spatial_structure",open_access,verify_cc_by_in_scan,high,"Highly relevant to Bath–RP aggregation/FISH visual language and cell-cell association mechanisms"
S15-030,2025,Advanced Science,"Graphitized Biochar Derived from Agricultural Wastes Enhances Methanogenesis via Conductivity-Driven Direct Interspecies Electron Transfer",https://pmc.ncbi.nlm.nih.gov/articles/PMC12591188/,"conductive_material|DIET|methanogenesis|biochar",open_access,verify_aws_license,high,"Prioritize material-to-microbe and conductive-DIET mechanism figures"
S15-031,2025,Journal of the American Chemical Society,"Elucidating energy conversion pathways at biotic/abiotic interfaces in microbe-semiconductor hybrids",https://pmc.ncbi.nlm.nih.gov/articles/PMC13005704/,"material_microbe_interface|semiconductor|energy_conversion|biohybrid",author_manuscript,verify_aws_license,high,"Excellent interface/mechanism reference; public mirroring only if AWS license permits"
S15-032,2025,Global Challenges,"Magnetite Nanoparticles Enhancing H2-Driven Biomethanation in a Mixed Microbial Community",https://pmc.ncbi.nlm.nih.gov/articles/PMC12418360/,"magnetite|conductive_material|H2|biomethanation",open_access,verify_aws_license,high,"Prioritize magnetite–microbe and conductive-material layouts"
S15-033,2026,Environmental Microbiology,"Millimetre-Scale Stratification of Microbial Communities in Hydrothermal Sediments",https://pmc.ncbi.nlm.nih.gov/articles/PMC12766260/,"environmental_gradient|redox_stratification|multiscale",open_access,CC_BY_4_0_reported,high,"Strong environmental-gradient and spatial-layering candidate"
S15-034,2024,Nature Communications,"Mechanisms of extracellular electron transfer in anaerobic methanotrophic archaea",https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,"methane|EET|electrode|nanowire|methanotroph",open_access,verify_aws_license,high,"Very high relevance to methane oxidation and extracellular electron transfer"
S15-035,2025,Science Advances,"Redox conduction facilitates direct interspecies electron transport in anaerobic methanotrophic consortia",https://pmc.ncbi.nlm.nih.gov/articles/PMC12372872/,"methane|DIET|redox_conduction|ANME_SRB",open_access,CC_BY_4_0_reported,high,"Strong direct interspecies electron-transfer mechanism candidate"
S15-036,2025,Environmental Science & Technology,"Methanogenesis and Acetogenesis in Hydrogenotrophy with Carbonate Minerals: Dependence on Mineral Surface Area, Biofilm Growth, and Microbial Community",https://pmc.ncbi.nlm.nih.gov/articles/PMC12392440/,"mineral_microbe_interface|carbonate|biofilm|H2",open_access,CC_BY_4_0_reported,high,"Prioritize visual abstract/mineral-interface and biofilm-on-mineral layouts"
S15-037,2026,Journal of the American Chemical Society,"Organic Semiconducting Hydrogel with Integrated Microbes and Enzymes for Selective Solar CO2 Conversion",https://pmc.ncbi.nlm.nih.gov/articles/PMC13107442/,"semiconductor_hydrogel|material_microbe_interface|direct_vs_mediated_ET|CO2",open_access,CC_BY_4_0_reported,high,"Excellent Obj2-style material–microbe interface candidate"
S15-038,2024,Frontiers in Microbiology,"Electromicrobiological concentration cells are an overlooked potential energy conservation mechanism for subsurface microorganisms",https://pmc.ncbi.nlm.nih.gov/articles/PMC11371792/,"environmental_gradient|electromicrobiology|redox|subsurface",open_access,CC_BY_reported,medium,"Conceptual environmental redox-gradient/electron-flow reference"
S15-039,2024,Fundamental Research,"Biohybrid CO2 electrolysis under external mode: Using pure formic acid extracted from CO2 electroreduction for diverse microbial conversion",https://pmc.ncbi.nlm.nih.gov/articles/PMC12744634/,"biohybrid|CO2_electrolysis|formate|microbial_conversion",open_access,verify_aws_license,high,"Integrated abiotic-to-microbial carbon/electron-flow workflow candidate"
