candidate_id,year,journal,article_title,url,priority_theme,oa_status,license_status,screening_priority,notes
S15-054,2025,JACS,"Elucidating energy conversion pathways at biotic/abiotic interfaces in microbe-semiconductor hybrids",https://pmc.ncbi.nlm.nih.gov/articles/PMC13005704/,"microbe_semiconductor|EET|biohybrid_interface|photoelectron",open_access,verify_AWS,very_high,"Strong direct/indirect semiconductor-to-microbe electron-transfer schematics"
S15-055,2026,Nature Communications,"Electrode-free bioelectrochemical intercalation for scalable lithium recovery",https://pmc.ncbi.nlm.nih.gov/articles/PMC13315905/,"microbe_mineral|EET|mineral_agglomerate|cytochrome",open_access,verify_AWS,very_high,"Self-assembled microbe-mineral agglomerates with cytochrome-mediated EET"
S15-056,2023,Quantitative Biology,"Conductive proteins-based extracellular electron transfer of electroactive microorganisms",https://pmc.ncbi.nlm.nih.gov/articles/PMC12806980/,"EET|cytochrome|nanowire|mechanism",open_access,CC_BY_4_0,high,"Review with pathway and nanowire/cytochrome visual grammar"
S15-057,2025,Microorganisms,"The Role of Anode Potential in Electromicrobiology",https://pmc.ncbi.nlm.nih.gov/articles/PMC11945658/,"electrode_microbe|DET|IET|biofilm|EET",open_access,verify_AWS,high,"Potential DET/IET comparison and electrode-biofilm interface schematics"
S15-058,2025,Nature Communications,"A widespread and ancient bacterial machinery assembles cytochrome OmcS nanowires essential for extracellular electron transfer",https://pmc.ncbi.nlm.nih.gov/articles/PMC11845295/,"nanowire|cytochrome|EET|mineral",open_access,verify_AWS,very_high,"Nanowire assembly and mineral EET mechanism"
S15-059,2025,Nature Communications,"Independently evolved extracellular electron transfer pathways in ecologically diverse Desulfobacterota",https://pmc.ncbi.nlm.nih.gov/articles/PMC12133095/,"EET|mineral|iron_oxide|pathway_comparison",open_access,verify_AWS,very_high,"Comparative EET pathway architecture with iron-mineral context"
S15-060,2026,Nature Communications,"Spatiotemporal organization of membrane protein controls bacterial extracellular electron transfer",https://pmc.ncbi.nlm.nih.gov/articles/PMC13021941/,"EET|membrane_protein|spatial_organization|electron_flow",open_access,verify_AWS,very_high,"Modern membrane-level EET mechanism and spatial organization"
S15-061,2025,Nature Microbiology,"Microbial iron oxide respiration coupled to sulfide oxidation",https://pmc.ncbi.nlm.nih.gov/articles/PMC12545173/,"iron_oxide|mineral_microbe|redox|environmental_interface",open_access,verify_AWS,very_high,"Mineral respiration and Fe-S redox mechanism"
S15-062,2025,Environmental Microbiology,"Millimetre-Scale Stratification of Microbial Communities in Hydrothermal Sediments",https://pmc.ncbi.nlm.nih.gov/articles/PMC12766260/,"environmental_gradient|redox_interface|sediment|methane",open_access,verify_AWS,high,"Sharp redox-interface and methane-zone visual language"
S15-063,2026,Frontiers in Marine Science,"Microbial and geochemical architecture of an active Scotian Slope cold seep",https://pmc.ncbi.nlm.nih.gov/articles/PMC12989751/,"methane_seep|redox_gradient|environmental_architecture",open_access,verify_AWS,high,"Large-scale environmental methane/redox architecture"
S15-064,2023,ACS Earth and Space Chemistry,"Consider the Anoxic Microsite: Acknowledging and Appreciating Spatiotemporal Redox Heterogeneity in Soils and Sediments",https://pmc.ncbi.nlm.nih.gov/articles/PMC10519444/,"redox_gradient|anoxic_microsite|environmental_interface",open_access,verify_AWS,high,"Conceptual redox-interface diagrams; include only if visually strong"
S15-065,2025,Nature Communications,"Engineering electron conduits in bacteria for selective biointerfacing and enhanced energy transfer",https://pmc.ncbi.nlm.nih.gov/articles/PMC12915252/,"MtrCAB|electron_conduit|biointerface|EET",open_access,verify_AWS,very_high,"Engineered electron conduits and biointerface architecture"
