id,asset_path,decision
R073,assets/raw/nature-microbiology/nature-microbiology-014-PMC13323110-Fig7.jpg,delete
R074,assets/raw/nature-microbiology/nature-microbiology-016-PMC13323057-Fig6.jpg,delete
R075,assets/raw/nature-microbiology/nature-microbiology-017-PMC13418256-F6.jpg,delete
R076,assets/raw/nature-microbiology/nature-microbiology-018-PMC13418256-F1.jpg,delete
R077,assets/raw/nature-microbiology/nature-microbiology-030-PMC13236596-Fig1.jpg,delete
R078,assets/raw/nature-microbiology/nature-microbiology-033-PMC13236599-Fig2.jpg,delete
R079,assets/raw/nature-microbiology/nature-microbiology-039-PMC13236591-Fig1.jpg,delete
R080,assets/raw/nature-water/nature-water-001-PMC13533828-Fig1.webp,delete
R081,assets/raw/nature-water/nature-water-002-PMC13533828-Fig2.webp,delete
R082,assets/raw/nature-water/nature-water-004-PMC13197224-Fig5.jpg,delete
R083,assets/raw/nature-water/nature-water-005-PMC13197224-Fig1.jpg,delete
R084,assets/raw/nature-water/nature-water-007-PMC12711573-Fig1.jpg,delete
