candidate_id,year,journal,article_url,figure_number,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,public_mirror,inspection_basis,notes
S15-038,2025,ISME Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12503159/,1,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Predominantly quantitative, microscopy-heavy, or redundant with a stronger selected figure."
S15-038,2025,ISME Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12503159/,2,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Predominantly quantitative, microscopy-heavy, or redundant with a stronger selected figure."
S15-038,2025,ISME Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12503159/,3,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Predominantly quantitative, microscopy-heavy, or redundant with a stronger selected figure."
S15-038,2025,ISME Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12503159/,4,A_style_reference,electron_transfer,mixed_schematic_data,evidence_plus_transfer_process,high,public_mirror_allowed_cc_by,true,direct_contact_sheet,"Electron-transfer flux plus soluble redox mediators and transfer-process inset; strong MIET/EET evidence grammar."
S15-038,2025,ISME Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12503159/,5,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Potentially useful, but not selected among the most distinct 1–2 active references for this article."
S15-038,2025,ISME Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12503159/,6,B_style_reference,integrated_mechanism,editorial_2d_overview,multi_system_circular_comparison,moderate,public_mirror_allowed_cc_by,true,direct_contact_sheet,"High-level relationship among metabolism, electron transfer, community assembly and succession; useful overview grammar."
S15-039,2025,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC12372872/,1,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Potentially useful, but not selected among the most distinct 1–2 active references for this article."
S15-039,2025,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC12372872/,2,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Potentially useful, but not selected among the most distinct 1–2 active references for this article."
S15-039,2025,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC12372872/,3,A_style_reference,electron_transfer,flat_2d_mechanism,generator_collector_redox_conduction,high,public_mirror_allowed_cc_by,true,direct_contact_sheet,"Clear redox-conduction experiment comparing blank vs conductive consortium; highly transferable DIET/EET logic."
S15-039,2025,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC12372872/,4,A_style_reference,interspecies_electron_transfer,comparative_pathway,four_route_redox_comparison,high,public_mirror_allowed_cc_by,true,direct_contact_sheet,"Comparative Geobacter/Shewanella/H2-transfer/DIET redox architecture; strong mechanism-comparison grammar."
