id,asset_path,decision
Z111,assets/zotero/Proceedings-of-the-National-Academy-of-Sciences/UBQV4WFS/ZOT-UBQV4WFS-4NVQE6HP-FIG1-P2.png,delete
Z112,assets/zotero/RSC-Advances/EJN6IS6D/ZOT-EJN6IS6D-D2JH757R-FIG1-P2.png,delete
Z113,assets/zotero/Science-AdvAnceS/J5XG9Z5E/ZOT-J5XG9Z5E-I4IT3A4W-FIG4-P5.png,delete
Z114,assets/zotero/Science-AdvAnceS/J5XG9Z5E/ZOT-J5XG9Z5E-I4IT3A4W-FIG5-P6.png,delete
Z115,assets/zotero/Science-AdvAnceS/JCF9LF9A/ZOT-JCF9LF9A-GZYTIUAW-FIG4-P6.png,delete
Z116,assets/zotero/Science-AdvAnceS/PAHHNPV2/ZOT-PAHHNPV2-XCHSQ7TD-FIG4-P5.png,delete
Z117,assets/zotero/Science-AdvAnceS/PAHHNPV2/ZOT-PAHHNPV2-XCHSQ7TD-FIG5-P5.png,delete
Z118,assets/zotero/Scientific-Reports/I5T5XF57/ZOT-I5T5XF57-RR9A4CZY-FIG5-P6.png,delete
Z119,assets/zotero/Small/AKRKE9WD/ZOT-AKRKE9WD-ICD39ZT7-FIG1-P2.png,delete
Z120,assets/zotero/Small/AKRKE9WD/ZOT-AKRKE9WD-ICD39ZT7-FIG6-P7.png,delete
Z121,assets/zotero/The-ISME-Journal/3M33NPCZ/ZOT-3M33NPCZ-EZYQFXX8-FIG5-P5.png,delete
Z122,assets/zotero/The-ISME-Journal/ECS7K5X9/ZOT-ECS7K5X9-6FD989SN-FIG6-P24.png,delete
