id,asset_path,decision
Z063,assets/zotero/Environmental-Science-Technology/FCN7YRTW/ZOT-FCN7YRTW-MJYP7MYI-FIG6-P8.png,delete
Z064,assets/zotero/Environmental-Science-Technology/JHNU7NII/ZOT-JHNU7NII-XNPNWT2M-FIG5-P8.png,delete
Z065,assets/zotero/Environmental-Science-Technology/JHNU7NII/ZOT-JHNU7NII-XNPNWT2M-FIG6-P9.png,delete
Z066,assets/zotero/Environmental-Science-Technology/KMND3UPA/ZOT-KMND3UPA-CEJAHA7A-FIG3-P6.png,delete
Z067,assets/zotero/Environmental-Science-Technology/RAB8URMQ/ZOT-RAB8URMQ-KJF2NIIZ-FIGGA-P1.png,delete
Z068,assets/zotero/Environmental-Science-Technology/SCG5Z7EM/ZOT-SCG5Z7EM-5LGPHJMR-FIG4-P7.png,delete
Z069,assets/zotero/Environmental-Science-Technology/TW2PI7B6/ZOT-TW2PI7B6-2M3TAALY-FIG5-P6.png,delete
Z070,assets/zotero/Environmental-Science-Technology/TW2PI7B6/ZOT-TW2PI7B6-2M3TAALY-FIGGA-P1.png,delete
Z071,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG1-P2.png,delete
Z072,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG7-P10.png,keep
Z073,assets/zotero/Environmental-Science-Technology/XKWNLCJH/ZOT-XKWNLCJH-27H8JTM2-FIGGA-P1.png,delete
Z074,assets/zotero/FEMS-Microbiology-Ecology/DBURERI2/ZOT-DBURERI2-8GGDPTWB-FIG3-P7.png,delete
