id,asset_path,decision
Z099,assets/zotero/Nature-Communications/8UQKG5QR/ZOT-8UQKG5QR-8IBESLUP-FIG6-P8.png,delete
Z100,assets/zotero/Nature-Communications/C2JA7PJP/ZOT-C2JA7PJP-R8NIKWYW-FIG3-P5.png,delete
Z101,assets/zotero/Nature-Communications/G67LXLNE/ZOT-G67LXLNE-JPGVHPRK-FIG5-P7.png,delete
Z102,assets/zotero/Nature-Communications/G9BSG7GG/ZOT-G9BSG7GG-CIECJNTR-FIG1-P2.png,delete
Z103,assets/zotero/Nature-Communications/IBRIGFYC/ZOT-IBRIGFYC-CHCB7JWI-FIG5-P5.png,delete
Z104,assets/zotero/Nature-Communications/K3E82HZJ/ZOT-K3E82HZJ-5MU8ZHBV-FIG1-P2.png,delete
Z105,assets/zotero/Nature-Communications/TWUXCRM4/ZOT-TWUXCRM4-IHWKQZBT-FIG6-P10.png,delete
Z106,assets/zotero/Nature-Reviews-Microbiology/66J4LWIV/ZOT-66J4LWIV-E9BLC7MK-FIG3-P6.png,delete
Z107,assets/zotero/Nature-Sustainability/H6FIEJJA/ZOT-H6FIEJJA-8FF87MRP-FIG2-P4.png,keep
Z108,assets/zotero/Nature-Water/T8NW8R66/ZOT-T8NW8R66-MTG3Z6IG-FIG4-P6.png,keep
Z109,assets/zotero/PLOS-Computational-Biology/U2IKRPF6/ZOT-U2IKRPF6-MCK3AMFD-FIG1-P5.png,keep
Z110,assets/zotero/PLoS-Biology/B7TGUF38/ZOT-B7TGUF38-IMGY2MBN-FIG2-P4.png,delete
