candidate_id,year,journal,article_url,figure_number,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,public_mirror,inspection_basis,notes
S15-020,2025,Applied and Environmental Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,1,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Directly inspected but lower-transfer, quantitative, or redundant relative to the top 1–2 figures from this article."
S15-020,2025,Applied and Environmental Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,2,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Directly inspected but lower-transfer, quantitative, or redundant relative to the top 1–2 figures from this article."
S15-020,2025,Applied and Environmental Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,3,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Directly inspected but lower-transfer, quantitative, or redundant relative to the top 1–2 figures from this article."
S15-020,2025,Applied and Environmental Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,4,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Directly inspected but lower-transfer, quantitative, or redundant relative to the top 1–2 figures from this article."
S15-020,2025,Applied and Environmental Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,5,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,"Directly inspected but lower-transfer, quantitative, or redundant relative to the top 1–2 figures from this article."
S15-020,2025,Applied and Environmental Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,6,A_style_reference,electron_transfer,2d_pathway_cutaway,semiconductor_to_membrane_eet,high,public_mirror_allowed_cc_by,true,direct_contact_sheet,Ultrafast semiconductor→outer-membrane electron-transfer mechanism; highly transferable to Bath–semiconductor EEU.
S15-021,2024,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC11529708/,2,C_context_reference,context_or_quantitative,mixed_or_data,unresolved_figure,moderate,license_or_asset_unverified_no_public_mirror,false,caption_metadata_only,Potential style value from caption but no directly resolved preview/redistribution check in Wave 3; not harvested.
S15-021,2024,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC11529708/,3,C_context_reference,context_or_quantitative,mixed_or_data,unresolved_figure,moderate,license_or_asset_unverified_no_public_mirror,false,caption_metadata_only,Potential style value from caption but no directly resolved preview/redistribution check in Wave 3; not harvested.
S15-021,2024,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC11529708/,4,C_context_reference,context_or_quantitative,mixed_or_data,unresolved_figure,moderate,license_or_asset_unverified_no_public_mirror,false,caption_metadata_only,Potential style value from caption but no directly resolved preview/redistribution check in Wave 3; not harvested.
S15-021,2024,Science Advances,https://pmc.ncbi.nlm.nih.gov/articles/PMC11529708/,5,exclude_from_style_learning,context_or_quantitative,mixed_or_data,unresolved_figure,moderate,license_or_asset_unverified_no_public_mirror,false,caption_metadata_only,No directly resolved preview/redistribution check in Wave 3; not harvested.
S15-022,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,1,A_style_reference,integrated_mechanism,editorial_2d_overview,radial_biohybrid_design_map,high,public_mirror_allowed_cc_by,true,direct_contact_sheet,"Excellent high-level design grammar linking electron pathways, materials, biology, characterization and applications."
S15-022,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,2,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,third_party_style_only,false,caption_license_metadata,Third-party/reproduced-with-permission content; metadata/style context only; no public mirror.
S15-022,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,3,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,third_party_style_only,false,caption_license_metadata,Third-party/reproduced-with-permission content; no public mirror.
S15-022,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,4,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,Useful but redundant relative to selected biohybrid architecture references.
