candidate_id,year,journal,article_url,figure_number,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,public_mirror,inspection_basis,notes
S15-028,2026,FEMS Microbiology Ecology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13322032/,1,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-028,2026,FEMS Microbiology Ecology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13322032/,2,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-028,2026,FEMS Microbiology Ecology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13322032/,3,A_style_reference,methane_eet,flat_2d_mechanism,metabolism_to_electrode_eet,high,public_mirror_allowed_cc_by,true,direct_contact_sheet_and_caption,Direct methanotroph metabolic reconstruction plus predicted EET architecture; closest match to Bath EET/EEU visuals.
S15-028,2026,FEMS Microbiology Ecology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13322032/,4,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-028,2026,FEMS Microbiology Ecology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13322032/,5,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,1,B_style_reference,environmental_gradient,gradient_plus_quantitative,water_column_profile,high,public_mirror_allowed_cc_by,true,direct_contact_sheet_and_caption,Strong CH4/O2/redox water-column gradient grammar; directly useful for microoxic-anoxic background.
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,2,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,3,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,4,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,5,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,6,A_style_reference,methane_environmental_process,editorial_2d_mechanism,gradient_to_mob_mechanism,high,public_mirror_allowed_cc_by,true,direct_contact_sheet_and_caption,Excellent CH4/O2 opposing-gradient plus MOB mechanism overview.
S15-030,2024,The ISME Journal,https://pmc.ncbi.nlm.nih.gov/articles/PMC11072679/,1,A_style_reference,environmental_gradient,experimental_2d_schematic,counter_gradient_model,high,public_mirror_allowed_cc_by,true,direct_contact_sheet_and_caption,Very transferable syringe-model CH4/O2 counter-gradient layout.
S15-030,2024,The ISME Journal,https://pmc.ncbi.nlm.nih.gov/articles/PMC11072679/,2,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-030,2024,The ISME Journal,https://pmc.ncbi.nlm.nih.gov/articles/PMC11072679/,3,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-030,2024,The ISME Journal,https://pmc.ncbi.nlm.nih.gov/articles/PMC11072679/,4,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-031,2024,Advanced Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,1,A_style_reference,material_microbe_interface,editorial_2d_overview,modular_biohybrid_electrode,high,public_mirror_allowed_cc_by,true,direct_contact_sheet_and_caption,High-quality modular cell-material-electrode architecture.
S15-031,2024,Advanced Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,2,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-031,2024,Advanced Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,3,B_style_reference,electron_transfer,2d_pathway_cutaway,direct_plus_flavin_eet,high,public_mirror_allowed_cc_by,true,direct_contact_sheet_and_caption,Clear direct versus riboflavin-assisted membrane-to-electrode transfer grammar.
S15-031,2024,Advanced Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,4,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-031,2024,Advanced Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,5,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-032,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,1,B_style_reference,experimental_workflow,flat_2d_workflow,bioelectrochemical_timeline,moderate,public_mirror_allowed_cc_by,true,direct_contact_sheet_and_caption,Useful compact experimental-sequence schematic for methane-electrode studies.
S15-032,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,2,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-032,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,3,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-032,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,4,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
S15-032,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,5,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet_and_caption,Potential context value but not among the top distinct 1–2 style references for this article.
