id,asset_path,decision
Z123,assets/zotero/The-ISME-Journal/JFZAS9NS/ZOT-JFZAS9NS-S5SU82R3-FIG5-P9.png,delete
Z124,assets/zotero/The-ISME-Journal/XKPR3PWL/ZOT-XKPR3PWL-63E7V4ZZ-FIG5-P7.png,delete
Z125,assets/zotero/The-ISME-Journal/ZN7J262M/ZOT-ZN7J262M-NV53KDXC-FIG1-P3.png,keep
Z126,assets/zotero/The-ISME-Journal/ZN7J262M/ZOT-ZN7J262M-NV53KDXC-FIG2-P4.png,delete
Z127,assets/zotero/Trends-in-Microbiology/4YYHXE4L/ZOT-4YYHXE4L-E2S47CMC-FIG1-P3.png,delete
Z128,assets/zotero/Trends-in-Microbiology/4YYHXE4L/ZOT-4YYHXE4L-E2S47CMC-FIG4-P7.png,delete
Z129,assets/zotero/Trends-in-Microbiology/HJAAZ9NZ/ZOT-HJAAZ9NZ-SKTAN8CE-FIG1-P6.png,delete
Z130,assets/zotero/Trends-in-Microbiology/HJAAZ9NZ/ZOT-HJAAZ9NZ-SKTAN8CE-FIG2-P9.png,delete
Z131,assets/zotero/Water-Research/4BFE7KNF/ZOT-4BFE7KNF-36SPFBUL-FIG2-P5.png,delete
Z132,assets/zotero/Water-Research/AHH3KBMH/ZOT-AHH3KBMH-GSEN658Y-FIG6-P6.png,delete
Z133,assets/zotero/Water-Research/B5DYAD9Y/ZOT-B5DYAD9Y-38F3E98C-FIG2-P5.png,keep
Z134,assets/zotero/Water-Research/B5DYAD9Y/ZOT-B5DYAD9Y-38F3E98C-FIG3-P5.png,delete
